API,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,GOR_30,GOR_60,GOR_90
05123414710000,11706,1278.572,914.3993,5639.625167336009,5564.497511002092,5569.1751230784685
05123415060000,9702,900.0113,1806.526,3884.213335705707,3927.7441911282676,4419.3114527487705
05123376650000,4153,96.54172,1305.366,2940.5569857243154,2637.916894477856,2864.073777064955
05123377250000,9093,924.3564,647.554,1589.3540051679581,1579.9119427627952,1658.3036116918781
05123396240000,8955,799.0110000000001,1163.223,3010.202884953676,3024.253382380447,3156.626506024096
05123397150000,3600,16.29176,16.29176,3257.4412532637075,2829.2761050608583,2481.6147082334132
05123397850000,9198,594.7678,865.7679,2740.3671449157323,2831.7040375040883,2977.393932211424
05005071920000,3866,1835.5639999999999,1890.1989999999998,3186.014596718857,2967.191801774242,2435.97551404803
05069064580000,9364,,,2583.871674148691,2447.7250591345482,2438.598663035404
05069064630000,12987,,,2127.176462227275,2248.940777704547,2330.14341095779
05069064990000,4052,,,2027.605099568011,2265.096730329439,1866.7511082963902
05123380230000,4510,3047.867,2417.604,2825.9328977964783,2713.079693831607,2727.33118971061
05123334240100,3508,834.5635,651.6735,3074.1367637102226,2367.579452328602,2355.7213930348253
05123380970000,5445,1103.9,821.0215,5944.508140334785,6351.682552032678,6724.3375858684985
05123381650000,3716,881.9613,810.7016,3003.509420022164,3816.30147916283,4216.387077505102
05123364680000,4175,956.1911,494.7355,1888.9142335766421,1812.696563774024,1530.5258110915772
05123382550000,5392,774.2643,1496.364,2680.881452764741,2847.883949960074,2847.883949960074
05123365130000,7046,801.9929,1172.099,2389.670996344403,2447.550106699025,2650.024251242876
05123368950000,4060,817.6465,1145.247,3564.345193035579,3460.986547085201,3673.415431712238
05123369150000,4091,525.7064,842.2236,3558.1453949855104,3335.775890020102,3382.284492994538
05123370000000,4670,823.1102,1164.819,8493.963611630676,8904.116415827768,9186.206345400784
05123383210000,4530,999.6659,737.8943,5364.5161290322585,5864.0741805635425,6193.261079514969
05123383230000,4489,1019.9839999999999,839.4119999999999,5193.912358960902,5887.180646619941,6487.785433631341
05123370010000,4632,822.2911,1165.348,9287.212877554712,9711.016378730088,9854.523543083413
05123372560000,9218,1338.26,301.7462,1668.4483653347172,1668.335901386748,1793.261587379234
05123376160000,3949,1308.808,981.6327,2515.543541224174,2400.13760566149,2486.734405870731
05123396420000,5029,628.4019999999999,996.2426,1931.039416267258,1799.804209495839,1802.947052947052
